name,timestamp,emg1,emg2,emg3,label
bryan,7269,0.0,0.0,0.0,Rest
bryan,7319,0.0,0.0,0.0,Rest
bryan,7369,0.0,0.0,0.0,Rest
bryan,7419,0.0,0.0,0.0,Rest
bryan,7469,0.0,0.0,0.0,Rest
bryan,7519,0.0,0.0,0.0,Rest
bryan,7569,0.0,0.0,0.0,Rest
bryan,7619,0.0,0.0,0.0,Rest
bryan,7669,0.0,0.0,0.0,Rest
bryan,7719,0.0,0.0,0.0,Rest
bryan,7769,0.0,0.0,0.0,Rest
bryan,7819,0.0,0.0,0.0,Rest
bryan,7869,0.0,0.0,0.0,Rest
bryan,7919,0.0,0.0,0.0,Rest
bryan,7969,0.0,0.0,0.0,Rest
bryan,8019,0.0,0.0,0.0,Rest
bryan,8069,0.0,0.0,0.0,Rest
bryan,8119,0.0,0.0,0.0,Rest
bryan,8169,0.0,0.0,0.0,Rest
bryan,8219,0.0,0.0,0.0,Rest
bryan,8269,0.0,0.0,0.0,Rest
bryan,8319,0.0,0.0,0.0,Rest
bryan,8369,0.0,0.0,0.0,Rest
bryan,8419,0.0,0.0,0.0,Rest
bryan,8469,0.0,0.0,0.0,Rest
bryan,8519,0.0,0.0,0.0,Rest
bryan,8569,0.0,0.0,0.0,Rest
bryan,8619,0.0,0.0,0.0,Rest
bryan,8669,0.0,0.0,0.0,Rest
bryan,8719,0.0,0.0,0.0,Rest
bryan,8769,0.0,0.0,0.0,Rest
bryan,8819,0.0,0.0,0.0,Rest
bryan,8869,0.0,0.0,0.0,Rest
bryan,8919,0.0,0.0,0.0,Rest
bryan,8969,0.0,0.0,0.0,Rest
bryan,9019,0.0,0.0,0.0,Rest
bryan,9069,0.0,0.0,0.0,Rest
bryan,9119,0.0,0.0,0.0,Rest
bryan,9169,0.0,0.0,0.0,Rest
bryan,9219,0.0,0.0,0.0,Rest
bryan,9269,0.0,0.0,0.0,Rest
bryan,9319,0.0,0.0,0.0,Rest
bryan,9369,0.0,0.0,0.0,Rest
bryan,9419,0.0,0.0,0.0,Rest
bryan,9469,0.0,0.0,0.0,Rest
bryan,9519,0.0,0.0,0.0,Rest
bryan,9569,0.0,0.0,0.0,Rest
bryan,9619,0.0,0.0,0.0,Rest
bryan,9669,0.0,0.0,0.0,Rest
bryan,9719,0.0,0.0,0.0,Rest
bryan,9769,0.0,0.0,0.0,Rest
bryan,9819,0.0,0.0,0.0,Rest
bryan,9869,0.0,0.0,0.0,Rest
bryan,9919,0.0,0.0,0.0,Rest
bryan,9969,0.0,0.0,0.0,Rest
