timestamp,emg1,emg2,emg3
1614,6738.0,3993.0,3709.0
1615,6738.0,3993.0,3709.0
1616,6738.0,3993.0,3709.0
1617,6738.0,2774.0,3709.0
1618,6738.0,2774.0,3709.0
1619,6738.0,2774.0,3709.0
1620,6738.0,2774.0,3709.0
1621,6738.0,2774.0,3709.0
1622,6738.0,3344.0,3709.0
1623,6738.0,3344.0,3709.0
1624,6738.0,2287.0,3709.0
1625,6738.0,2287.0,3709.0
1626,6738.0,2287.0,3709.0
1627,6738.0,2287.0,3709.0
1628,6738.0,2576.0,3709.0
1629,6738.0,1686.0,5140.0
1630,2325.0,1686.0,5140.0
1631,2325.0,1686.0,5140.0
1632,2325.0,1686.0,5577.0
1633,2325.0,1686.0,5577.0
1634,2325.0,5228.0,5577.0
1635,2325.0,5228.0,5577.0
1636,2325.0,5228.0,5577.0
1637,2325.0,5228.0,3409.0
1638,2325.0,5228.0,3593.0
1639,2325.0,5228.0,3593.0
1640,2325.0,2676.0,3593.0
1641,2325.0,2676.0,3593.0
1642,2325.0,2676.0,3593.0
1643,2325.0,1494.0,3593.0
1644,2325.0,1494.0,3593.0
1645,2325.0,1402.0,3593.0
1646,2325.0,2666.0,3593.0
1647,2325.0,2666.0,3593.0
1648,2325.0,2666.0,3593.0
1649,2325.0,2666.0,3593.0
1650,2325.0,2666.0,3593.0
1651,2325.0,2666.0,3593.0
1652,2325.0,2666.0,3593.0
1653,2325.0,1501.0,3593.0
1654,2325.0,1501.0,3593.0
1655,2325.0,1501.0,3593.0
1656,2325.0,1501.0,3593.0
1657,2325.0,3976.0,3593.0
1658,2325.0,3976.0,3593.0
1659,2325.0,3976.0,3593.0
1660,2325.0,3976.0,3593.0
1661,2325.0,3976.0,3593.0
1662,2325.0,3976.0,3593.0
1663,2325.0,1624.0,3593.0
1664,2325.0,3422.0,3593.0
1665,2325.0,3422.0,3593.0
1666,2325.0,3422.0,3593.0
1667,2325.0,3422.0,3593.0
1668,2325.0,2492.0,3593.0
1669,2325.0,2492.0,3593.0
1670,2325.0,3952.0,3593.0
1671,2325.0,3952.0,3593.0
1672,2325.0,3952.0,3593.0
1673,2325.0,3952.0,3593.0
1674,2325.0,1271.0,3024.0
1675,2325.0,1271.0,3024.0
1676,2325.0,1271.0,3024.0
1677,2325.0,1931.0,3024.0
1678,2325.0,1931.0,3024.0
1679,2325.0,1931.0,3024.0
1680,2325.0,1931.0,3086.0
1681,2325.0,1931.0,3005.0
1682,2325.0,1931.0,3005.0
1683,2325.0,1576.0,3005.0
1684,2325.0,1576.0,3005.0
1685,2325.0,1576.0,3005.0
1686,2325.0,1576.0,3005.0
1687,2325.0,1576.0,3005.0
1688,2325.0,1576.0,3005.0
1689,2325.0,1576.0,3005.0
1690,2325.0,1576.0,3005.0
1691,2325.0,1576.0,3005.0
1692,2325.0,2150.0,3005.0
1693,2325.0,1496.0,3005.0
1694,2325.0,1496.0,3005.0
1695,2325.0,1496.0,3005.0
1696,2325.0,1496.0,3005.0
1697,2325.0,1496.0,3005.0
1698,5.0,1496.0,3005.0
1699,232325.0,1496.0,3005.0
1700,2325.0,2311.0,3005.0
1701,2325.0,2311.0,3005.0
1702,2325.0,2311.0,3005.0
1703,2325.0,2311.0,3005.0
1704,2325.0,2873.0,3005.0
1705,2325.0,2873.0,3005.0
1706,2325.0,2873.0,3005.0
1707,2325.0,2873.0,3005.0
1708,2325.0,2873.0,3005.0
1709,2325.0,3037.0,3005.0
1710,2325.0,3037.0,3005.0
1711,2325.0,3037.0,3005.0
1712,2325.0,3083.0,3005.0
1713,2325.0,3083.0,3005.0
1714,2325.0,3697.0,3005.0
1715,2325.0,2815.0,3005.0
1716,2325.0,4125.0,3005.0
1717,2325.0,4125.0,3005.0
1718,2325.0,4125.0,3005.0
1719,2325.0,4125.0,3005.0
1720,2325.0,4125.0,3005.0
1721,2325.0,4125.0,3005.0
1722,2325.0,4125.0,3005.0
1723,2325.0,4125.0,3286.0
1724,2325.0,4125.0,3286.0
1725,2325.0,2267.0,3286.0
1726,2325.0,2267.0,3286.0
1727,2325.0,1760.0,3286.0
1728,2325.0,1760.0,3286.0
1729,2325.0,1369.0,3286.0
1730,2325.0,1369.0,3286.0
1731,2325.0,1369.0,3286.0
1732,2325.0,1369.0,3286.0
1733,2325.0,1369.0,5820.0
1734,2325.0,1369.0,5820.0
1735,2325.0,1369.0,5820.0
1736,2325.0,1369.0,5820.0
1737,2325.0,1369.0,5820.0
1738,2325.0,4654.0,1890.0
1739,2325.0,4654.0,1890.0
1740,2325.0,2027.0,4591.0
1741,2325.0,2027.0,2480.0
1742,2325.0,1654.0,2480.0
1743,2325.0,1654.0,2480.0
1744,2325.0,1654.0,2480.0
1745,2325.0,1654.0,2480.0
1746,2325.0,1654.0,2480.0
1747,2325.0,1654.0,2480.0
1748,2325.0,1654.0,3266.0
1749,2325.0,1654.0,3266.0
1750,2325.0,1654.0,2236.0
1751,2325.0,1654.0,2236.0
1752,20.0,1654.0,2236.0
1753,2325.0,1654.0,2236.0
1754,2325.0,1654.0,2962.0
1755,2325.0,1654.0,2962.0
1756,2325.0,2064.0,2962.0
1757,2325.0,2064.0,2962.0
1758,2325.0,2064.0,2962.0
1759,2325.0,2064.0,2650.0
1760,2325.0,2064.0,2650.0
1761,4725.0,3586.0,2650.0
1762,4725.0,3174.0,2650.0
1763,4725.0,3174.0,2650.0
1764,4725.0,3803.0,2650.0
1765,4725.0,3803.0,2650.0
3490,3885.0,3109.0,3543.0
3491,3885.0,3109.0,3543.0
3492,3885.0,3109.0,3543.0
3493,3885.0,3109.0,3543.0
3494,3885.0,3109.0,3318.0
3495,3885.0,3109.0,3318.0
3496,3885.0,3109.0,3318.0
3497,3885.0,3109.0,3318.0
3498,3885.0,3109.0,3318.0
3499,3885.0,3109.0,3318.0
3500,3885.0,3109.0,3318.0
3501,3885.0,3109.0,3318.0
3502,3885.0,3109.0,3318.0
3503,3885.0,3109.0,3318.0
3504,3885.0,3243.0,3318.0
3505,3885.0,3243.0,3318.0
3506,3885.0,3243.0,3318.0
3507,3703.0,3243.0,3318.0
3508,4013.0,3243.0,3318.0
3509,3677.0,3243.0,3318.0
3510,3677.0,3243.0,3318.0
3511,3677.0,3243.0,1934.0
3512,3677.0,3243.0,1934.0
3513,570.0,3243.0,3116.0
3514,3677.0,3243.0,3116.0
3515,3677.0,3243.0,2110.0
3516,3976.0,3425.0,2110.0
3517,3985.0,3425.0,2110.0
3518,3985.0,3425.0,2110.0
3519,6721.0,3425.0,2110.0
3520,6721.0,3425.0,2110.0
3521,6721.0,3425.0,2110.0
3522,6721.0,3425.0,2110.0
3523,6721.0,3425.0,2110.0
3524,6721.0,3425.0,2110.0
3525,6721.0,3425.0,2422.0
3526,6721.0,2904.0,2422.0
3527,6721.0,2904.0,2422.0
3528,6721.0,2904.0,2282.0
3529,39851.0,2904.0,3271.0
3530,67221.0,2904.0,3271.0
3531,6721.0,2904.0,1081.0
3532,6721.0,2904.0,4082.0
3533,6721.0,2904.0,1918.0
3534,6721.0,2904.0,1918.0
3535,6721.0,2904.0,2451.0
3536,6721.0,2904.0,2451.0
3537,6721.0,2904.0,1655.0
3538,6721.0,2904.0,1655.0
3539,6721.0,2904.0,1655.0
3540,6721.0,2904.0,1655.0
3541,6721.0,2904.0,1655.0
3542,6721.0,2904.0,1655.0
3543,6721.0,2904.0,1655.0
3544,6721.0,2904.0,1655.0
