timestamp,emg1,emg2,emg3
825,3948.0,2387.0,3700.0
826,3948.0,2299.0,3700.0
827,3948.0,3726.0,2374.0
828,3948.0,1493.0,2374.0
829,3948.0,1493.0,2374.0
830,3948.0,1493.0,2374.0
831,3948.0,1493.0,2374.0
832,3948.0,1493.0,2374.0
833,3948.0,1493.0,2374.0
834,3948.0,1493.0,2374.0
835,3948.0,3374.0,2374.0
836,3948.0,3124.0,2374.0
837,3948.0,3215.0,2374.0
838,3948.0,3557.0,2374.0
839,3948.0,3557.0,2374.0
840,3948.0,3557.0,4801.0
841,3948.0,3557.0,4801.0
842,3948.0,3557.0,4801.0
843,3948.0,3809.0,5767.0
844,3948.0,3809.0,5421.0
845,3948.0,3396.0,5421.0
846,3948.0,1717.0,5421.0
847,5449.0,1717.0,5421.0
848,5449.0,1717.0,5421.0
849,3.0,1717.0,5421.0
850,4457.0,1717.0,5421.0
851,8900.0,1717.0,3253.0
852,8900.0,1717.0,3253.0
853,8900.0,1717.0,3253.0
854,8900.0,1717.0,3253.0
855,8900.0,1717.0,3253.0
856,8900.0,1717.0,3253.0
857,5312.0,1717.0,3253.0
858,5312.0,1717.0,3253.0
859,5312.0,1717.0,3253.0
860,5312.0,1717.0,3253.0
861,5312.0,1717.0,3253.0
862,42.0,1717.0,3253.0
863,53112.0,1717.0,3253.0
864,5312.0,1717.0,3253.0
865,5312.0,1717.0,3253.0
866,5312.0,1717.0,3253.0
867,5312.0,1717.0,3253.0
868,5312.0,1717.0,3253.0
869,5312.0,1717.0,3253.0
870,5312.0,1717.0,3253.0
871,5312.0,1717.0,3253.0
872,5312.0,1717.0,3253.0
873,5312.0,1717.0,3253.0
874,5312.0,1717.0,3253.0
875,5312.0,1717.0,3253.0
876,3254.0,1717.0,3253.0
877,8406.0,1717.0,3556.0
878,4665.0,1717.0,3556.0
879,4665.0,1717.0,3556.0
880,4665.0,1717.0,3556.0
881,4665.0,1717.0,3556.0
882,4665.0,1717.0,3556.0
883,4665.0,1717.0,3556.0
884,3283.0,1717.0,3556.0
885,3283.0,1717.0,3556.0
886,3283.0,2136.0,3556.0
887,3283.0,2136.0,3556.0
888,3283.0,2136.0,3556.0
889,3283.0,2136.0,3689.0
890,3283.0,2136.0,3689.0
891,3283.0,3719.0,3689.0
892,3283.0,3719.0,5764.0
893,3283.0,3719.0,5764.0
894,3283.0,3719.0,2707.0
895,3283.0,3719.0,2707.0
896,3596.0,3719.0,2707.0
897,3596.0,3719.0,2707.0
898,3596.0,3719.0,2707.0
899,3596.0,3719.0,2707.0
900,3596.0,3719.0,2707.0
