timestamp,emg1,emg2,emg3
1372,3274.0,2894.0,2024.0
1373,3380.0,2894.0,2024.0
1374,4155.0,2894.0,2024.0
1375,4155.0,2894.0,2024.0
1376,4155.0,2894.0,2024.0
1377,4155.0,2894.0,2024.0
1378,4155.0,2894.0,2024.0
1379,6283.0,2894.0,2024.0
1380,6283.0,2894.0,2024.0
1381,6283.0,2894.0,2024.0
1382,6283.0,2894.0,2024.0
1383,6283.0,2894.0,2024.0
1384,4750.0,2894.0,2024.0
1385,4750.0,2894.0,2024.0
1386,4750.0,2894.0,2024.0
1387,3870.0,2894.0,2024.0
1388,3870.0,2894.0,2024.0
1389,3870.0,2894.0,2024.0
1390,3870.0,2894.0,2024.0
1391,4068.0,2894.0,2024.0
1392,2752.0,2453.0,2024.0
1393,2752.0,2453.0,2024.0
1394,2752.0,2453.0,2024.0
1395,2752.0,2453.0,2024.0
1396,3555.0,2453.0,1586.0
1397,3555.0,2277.0,1586.0
1398,6181.0,2277.0,1586.0
1399,6181.0,2277.0,1586.0
1400,2370.0,2277.0,1586.0
1401,2370.0,2277.0,1586.0
1402,2111.0,2277.0,1586.0
1403,3138.0,2277.0,2984.0
1404,3138.0,2277.0,2984.0
1405,3793.0,2277.0,2984.0
1406,3764.0,2277.0,2984.0
1407,3764.0,2277.0,2984.0
1408,3764.0,2277.0,2984.0
1409,4657.0,2277.0,2984.0
1410,4657.0,2277.0,2984.0
1411,350200.0,2457.0,2984.0
1412,3502.0,1628.0,2984.0
1413,3502.0,3814.0,2984.0
1414,3502.0,3814.0,2984.0
1415,3502.0,3587.0,2984.0
1416,3502.0,1673.0,2984.0
1417,6596.0,1673.0,2984.0
1418,4485.0,1622.0,2984.0
1419,4485.0,1561.0,2984.0
1420,4485.0,1561.0,2984.0
1421,3743.0,4693.0,1358.0
1422,3743.0,4693.0,1358.0
1423,3743.0,4693.0,1358.0
1424,3743.0,4693.0,1358.0
1425,3743.0,2194.0,1358.0
1426,3743.0,2194.0,6483.0
1427,3743.0,2194.0,6483.0
1428,4798.0,2194.0,3020.0
1429,4798.0,2194.0,3020.0
1430,4798.0,3152.0,3020.0
1431,4798.0,3152.0,3020.0
1432,2402.0,3152.0,3020.0
1433,2402.0,3152.0,3020.0
1434,2402.0,2987.0,3020.0
1435,2402.0,2987.0,3020.0
1436,2402.0,3672.0,3020.0
1437,2402.0,2362.0,3020.0
1438,4231.0,2362.0,4958.0
1439,4231.0,2362.0,2584.0
1440,4231.0,2362.0,1371.0
1441,4231.0,2362.0,1371.0
1442,4726.0,2537.0,1371.0
1443,4726.0,2537.0,1371.0
1444,4726.0,2655.0,1371.0
1445,4726.0,2029.0,2098.0
1446,4726.0,2029.0,2098.0
1447,4726.0,2029.0,3088.0
1448,4726.0,2029.0,2989.0
1449,4726.0,2029.0,2989.0
1450,4726.0,2029.0,2989.0
1451,4726.0,1962.0,2989.0
1452,6.0,1962.0,2989.0
1453,4726.0,1962.0,3657.0
1454,4726.0,1962.0,3657.0
1455,4726.0,1962.0,3657.0
1456,2120.0,1962.0,3657.0
1457,2120.0,1962.0,3657.0
1458,2120.0,4278.0,3657.0
1459,2120.0,4278.0,3657.0
1460,2120.0,2954.0,3657.0
1461,2120.0,2954.0,3657.0
1462,2120.0,2954.0,3657.0
1463,2120.0,2954.0,3657.0
1464,2120.0,2954.0,3657.0
1465,2120.0,2954.0,3657.0
1466,2120.0,2954.0,3657.0
1467,4814.0,2954.0,4918.0
1468,4814.0,2954.0,4918.0
1469,4462.0,2954.0,4918.0
1470,4462.0,2954.0,4918.0
1471,4462.0,2954.0,4918.0
1472,1591.0,2954.0,4918.0
1473,1591.0,2954.0,4918.0
1474,1591.0,2954.0,4918.0
1475,1591.0,2954.0,4918.0
1476,1591.0,2954.0,4918.0
1477,4670.0,2954.0,1866.0
1478,4670.0,2954.0,1866.0
1479,447200.0,2954.0,1866.0
1480,3465.0,2954.0,1866.0
1481,3465.0,2954.0,2109.0
1482,34.0,2954.0,2109.0
1483,3465.0,2954.0,2109.0
1484,3465.0,1450.0,2109.0
1485,34665.0,2746.0,2109.0
1486,3465.0,2746.0,2109.0
3219,6719.0,3630.0,3279.0
3220,5481.0,3630.0,3279.0
3221,5481.0,3630.0,3279.0
3222,5481.0,3630.0,3279.0
3223,5481.0,3630.0,3279.0
3224,5481.0,3630.0,4227.0
3225,9844.0,3630.0,4227.0
3226,9844.0,3630.0,4227.0
3227,9844.0,3630.0,4227.0
3228,9844.0,3630.0,4227.0
3229,9844.0,3630.0,4227.0
3230,9844.0,3630.0,4227.0
3231,9844.0,4723.0,4227.0
3232,9844.0,4723.0,4227.0
3233,9844.0,4723.0,1581.0
3234,9844.0,4723.0,1581.0
3235,60.0,4723.0,1581.0
3236,5039.0,4723.0,1581.0
3237,5039.0,4723.0,1581.0
3238,5039.0,4723.0,1581.0
3239,5039.0,4723.0,1581.0
3240,5039.0,3624.0,1581.0
3241,5039.0,3624.0,1581.0
3242,5039.0,3624.0,2250.0
3243,5039.0,3624.0,2250.0
3244,5039.0,3403.0,2250.0
3245,939.0,3403.0,2250.0
3246,50039.0,3403.0,2250.0
3247,5039.0,3403.0,2250.0
3248,5039.0,3403.0,4217.0
3249,5039.0,3403.0,4217.0
3250,5039.0,3403.0,4217.0
3251,4055.0,3403.0,2074.0
3252,3181.0,3403.0,2074.0
3253,3181.0,3403.0,2074.0
3254,3181.0,3403.0,2074.0
3255,3181.0,3403.0,2074.0
3256,3181.0,3403.0,2074.0
3257,3181.0,3403.0,2074.0
3258,3181.0,3403.0,2074.0
3259,3181.0,3403.0,3645.0
3260,3181.0,4945.0,1699.0
3261,3181.0,4945.0,1699.0
3262,3181.0,4945.0,1699.0
3263,3181.0,4945.0,1699.0
3264,3181.0,4945.0,1699.0
3265,3181.0,4945.0,1699.0
3266,3181.0,4945.0,4668.0
3267,3181.0,4945.0,4668.0
3268,3181.0,4286.0,4668.0
3269,3181.0,4286.0,4668.0
3270,3181.0,4286.0,4668.0
3271,3181.0,4286.0,4668.0
3272,3181.0,4286.0,4668.0
3273,3181.0,4286.0,4668.0
3274,3181.0,4286.0,4668.0
3275,3181.0,4286.0,4668.0
3276,3181.0,4286.0,4668.0
3277,31810.0,4286.0,4668.0
3278,3181.0,3453.0,4668.0
3279,3181.0,3453.0,4668.0
3280,3181.0,3453.0,4668.0
3281,2664.0,3453.0,4668.0
3282,2664.0,3453.0,4668.0
3283,4575.0,3453.0,4668.0
3284,4575.0,3453.0,4668.0
3285,4892.0,4238.0,4668.0
3286,4892.0,4238.0,4668.0
3287,4892.0,5215.0,4668.0
3288,4892.0,5215.0,4668.0
3289,5025.0,5215.0,4668.0
3290,5025.0,5215.0,4668.0
3291,5025.0,5215.0,4668.0
