timestamp,emg1,emg2,emg3
557,2271.0,4073.0,4396.0
558,2271.0,4073.0,4396.0
559,5109.0,4073.0,5359.0
560,5109.0,4682.0,2328.0
561,5109.0,4682.0,2328.0
562,5109.0,3969.0,2328.0
563,50.0,3969.0,2328.0
564,9.0,3969.0,2195.0
565,5109.0,3969.0,2860.0
566,5109.0,3969.0,2532.0
567,5109.0,3969.0,2532.0
568,5109.0,3969.0,2532.0
569,3862.0,3969.0,2532.0
570,3862.0,3969.0,2532.0
571,3862.0,3969.0,2532.0
572,3862.0,3969.0,2532.0
573,3862.0,3969.0,2532.0
574,3862.0,3969.0,2492.0
575,3862.0,3969.0,1819.0
576,3862.0,3969.0,1819.0
577,3862.0,3969.0,3079.0
578,3862.0,3969.0,3079.0
579,3862.0,3969.0,3079.0
580,3862.0,3969.0,3079.0
581,3862.0,3730.0,3079.0
582,3862.0,3730.0,3079.0
583,3862.0,3730.0,3079.0
584,3862.0,3730.0,3079.0
585,3862.0,3730.0,3079.0
586,3862.0,3066.0,3079.0
587,3862.0,3066.0,3079.0
588,3862.0,3066.0,3079.0
589,3862.0,3066.0,3079.0
590,3862.0,3066.0,3079.0
591,3862.0,3066.0,3079.0
592,3862.0,3066.0,3079.0
593,3862.0,4235.0,3079.0
594,3862.0,4235.0,3079.0
595,3862.0,3146.0,4751.0
596,3862.0,3146.0,4751.0
597,3862.0,3146.0,4751.0
598,3862.0,3146.0,4751.0
599,3862.0,3146.0,4751.0
600,3862.0,3146.0,2430.0
601,3862.0,3146.0,2430.0
602,3862.0,3146.0,2430.0
603,3862.0,3146.0,2430.0
604,3862.0,3146.0,2430.0
605,3862.0,3089.0,2430.0
606,3862.0,3089.0,2430.0
607,3862.0,3089.0,2430.0
608,3862.0,3089.0,2430.0
609,3862.0,3089.0,2430.0
610,3862.0,3089.0,2430.0
611,3862.0,3089.0,2430.0
612,3862.0,3089.0,2430.0
613,3862.0,3089.0,3353.0
614,3862.0,3089.0,3353.0
615,3862.0,2606.0,3174.0
616,3862.0,1489.0,3174.0
617,3862.0,1489.0,3174.0
618,3862.0,1489.0,3174.0
619,3862.0,3243.0,3174.0
620,3862.0,3243.0,3174.0
621,3862.0,3243.0,3174.0
622,3862.0,3243.0,3174.0
623,3862.0,1327.0,3174.0
624,3862.0,1327.0,3174.0
625,3862.0,1327.0,1707.0
626,7258.0,1327.0,1707.0
627,7258.0,1327.0,1707.0
628,7258.0,2058.0,1707.0
629,7258.0,2058.0,1707.0
630,7258.0,2058.0,1707.0
631,7258.0,2058.0,1707.0
632,7258.0,2058.0,1707.0
633,7258.0,2058.0,1707.0
634,7258.0,2058.0,4090.0
635,7258.0,2058.0,3012.0
636,7258.0,2058.0,2404.0
637,7258.0,2058.0,4074.0
638,7258.0,2058.0,4074.0
639,7258.0,2058.0,4078.0
640,7258.0,2058.0,4582.0
641,7258.0,2058.0,3325.0
642,7258.0,2058.0,2997.0
643,7258.0,2058.0,4003.0
644,7258.0,2058.0,5738.0
645,7258.0,2058.0,5738.0
646,7258.0,2058.0,5738.0
647,7258.0,2058.0,3283.0
648,7258.0,2058.0,2468.0
649,7258.0,2058.0,2468.0
650,7258.0,2058.0,2468.0
651,7258.0,2058.0,1614.0
652,7258.0,2058.0,3473.0
653,7258.0,2058.0,3473.0
654,7258.0,2058.0,3473.0
655,7258.0,2058.0,3473.0
656,7258.0,2058.0,3101.0
657,7258.0,2058.0,3101.0
658,7258.0,2058.0,2747.0
659,7258.0,2058.0,2747.0
660,7258.0,2058.0,2747.0
661,7258.0,2058.0,2747.0
662,7258.0,2875.0,2747.0
663,7258.0,2875.0,2747.0
664,7258.0,2875.0,2747.0
665,72258.0,1508.0,2747.0
666,7258.0,1508.0,2747.0
667,7258.0,2872.0,2747.0
668,7258.0,2872.0,2747.0
669,7258.0,932.0,2747.0
670,7258.0,932.0,2747.0
671,7258.0,932.0,2537.0
672,7258.0,810.0,2537.0
673,7258.0,810.0,2537.0
674,7258.0,3984.0,2537.0
675,7258.0,3984.0,2537.0
676,7258.0,1405.0,2537.0
677,7258.0,1405.0,2537.0
678,7258.0,1405.0,2537.0
679,7258.0,1405.0,2537.0
680,7258.0,1405.0,2537.0
681,7258.0,1405.0,4149.0
682,7258.0,1405.0,4149.0
683,7258.0,1405.0,4149.0
684,7258.0,1552.0,4149.0
685,7258.0,1552.0,4149.0
686,7258.0,892.0,4149.0
687,7258.0,892.0,4149.0
2439,6052.0,1941.0,2094.0
2440,6052.0,1941.0,2094.0
2441,3321.0,1941.0,2094.0
2442,4893.0,1941.0,2094.0
2443,4893.0,1941.0,2094.0
2444,4725.0,1941.0,2094.0
2445,4167.0,1941.0,2094.0
2446,4167.0,1941.0,2094.0
2447,4167.0,1941.0,2094.0
2448,4167.0,1941.0,2094.0
2449,4167.0,1941.0,2094.0
2450,4167.0,1941.0,2094.0
2451,4863.0,1941.0,2094.0
2452,4863.0,1941.0,2094.0
2453,4462.0,1941.0,2094.0
2454,4462.0,1941.0,2094.0
2455,4462.0,1941.0,2094.0
2456,4462.0,1941.0,2094.0
2457,4854.0,1941.0,2094.0
2458,4.0,1941.0,2094.0
2459,48544.0,1941.0,2094.0
2460,4854.0,1941.0,2094.0
2461,4854.0,1941.0,2094.0
2462,6170.0,1941.0,2094.0
2463,6170.0,1941.0,2094.0
2464,6170.0,1941.0,2094.0
2465,6170.0,1941.0,4459.0
2466,5087.0,1941.0,3953.0
2467,5087.0,1941.0,3953.0
2468,5087.0,1941.0,4349.0
2469,5087.0,1941.0,4349.0
2470,3568.0,1941.0,5548.0
2471,3568.0,1941.0,2489.0
2472,3568.0,1941.0,2489.0
2473,3568.0,1941.0,2489.0
2474,7015.0,1941.0,1249.0
2475,7015.0,1941.0,1249.0
2476,7015.0,1941.0,2825.0
2477,7015.0,1941.0,2825.0
2478,7015.0,1941.0,2825.0
2479,7015.0,1941.0,2825.0
2480,7015.0,1941.0,3108.0
2481,7015.0,1941.0,3108.0
2482,7015.0,1941.0,3108.0
2483,7015.0,1941.0,3108.0
2484,7015.0,1941.0,3007.0
2485,7015.0,1941.0,3007.0
2486,7015.0,1941.0,3007.0
2487,7015.0,1941.0,3007.0
2488,7015.0,1941.0,3007.0
2489,7015.0,1941.0,3007.0
2490,7015.0,1941.0,3007.0
2491,7015.0,1941.0,3007.0
2492,7015.0,1941.0,3007.0
2493,7015.0,1941.0,3007.0
2494,7015.0,1941.0,2577.0
2495,7015.0,1941.0,2577.0
2496,7015.0,1941.0,1879.0
2497,7015.0,1941.0,1879.0
2498,7015.0,1941.0,1879.0
2499,9208.0,1941.0,1879.0
2500,6321.0,1941.0,1879.0
2501,6321.0,1941.0,1879.0
2502,6321.0,1941.0,1879.0
2503,4404.0,1941.0,1879.0
2504,4404.0,1941.0,2529.0
2505,4404.0,1941.0,2529.0
2506,4404.0,1941.0,2529.0
2507,4404.0,1941.0,2529.0
2508,4404.0,1941.0,2529.0
2509,4404.0,1941.0,4398.0
2510,4404.0,1941.0,4398.0
2511,4404.0,1941.0,4398.0
2512,4404.0,1941.0,4398.0
2513,4292.0,1941.0,4398.0
2514,4292.0,1941.0,4398.0
2515,3569.0,1941.0,4398.0
