timestamp,emg1,emg2,emg3
0,2574.0,3574.0,4504.0
1,2574.0,3574.0,4504.0
2,2574.0,3574.0,4504.0
3,2574.0,3574.0,4504.0
4,2574.0,3574.0,4504.0
5,2574.0,3574.0,3973.0
6,2574.0,3574.0,1575.0
7,4449.0,3574.0,1575.0
8,4702.0,3574.0,1575.0
9,4702.0,3574.0,1575.0
10,4702.0,3574.0,1575.0
11,4702.0,3574.0,1575.0
12,4702.0,3574.0,1575.0
13,2907.0,3574.0,1575.0
14,2907.0,3574.0,1575.0
15,5628.0,3574.0,1575.0
16,5628.0,3574.0,1575.0
17,56285628.0,3574.0,3617.0
18,5628.0,3003.0,3617.0
19,5628.0,3003.0,3617.0
20,840.0,2221.0,3617.0
21,8467.0,2221.0,4796.0
22,8467.0,2549.0,4796.0
23,8467.0,2549.0,4796.0
24,8467.0,1852.0,4796.0
25,8467.0,1852.0,4796.0
26,8467.0,1852.0,4355.0
27,8467.0,1852.0,4355.0
28,8467.0,1852.0,4038.0
29,8467.0,1852.0,4038.0
30,67.0,1852.0,4038.0
31,84467.0,1975.0,4038.0
32,8467.0,1975.0,4038.0
33,8467.0,3083.0,4038.0
34,8484.0,3083.0,4038.0
35,8484.0,3083.0,3176.0
36,8484.0,3083.0,2685.0
37,8484.0,3083.0,2685.0
38,6133.0,3083.0,2685.0
39,6133.0,3083.0,2685.0
40,1515.0,3083.0,2685.0
41,1515.0,3083.0,4812.0
42,1515.0,3083.0,3189.0
43,15.0,3083.0,3189.0
44,15515.0,3083.0,3189.0
45,1515.0,2498.0,3189.0
46,1515.0,3305.0,3189.0
47,1515.0,3305.0,3189.0
48,1515.0,3305.0,7496.0
49,1515.0,3305.0,7496.0
50,1515.0,3305.0,7496.0
51,1515.0,3305.0,7496.0
52,6402.0,3305.0,7496.0
53,6402.0,3305.0,7496.0
54,4662.0,3305.0,7496.0
55,4662.0,3305.0,7496.0
56,4662.0,3305.0,7496.0
57,4662.0,2150.0,7496.0
58,4662.0,2150.0,7496.0
59,4662.0,2150.0,7496.0
60,4662.0,2150.0,7496.0
61,4683.0,2150.0,7496.0
62,4683.0,2150.0,7496.0
63,4683.0,2150.0,7496.0
64,4683.0,2150.0,7496.0
65,4683.0,2150.0,7496.0
66,4683.0,2524.0,7496.0
67,4683.0,2524.0,7496.0
68,4683.0,2524.0,7496.0
69,4683.0,2524.0,4394.0
70,4683.0,2477.0,4394.0
71,4683.0,2477.0,4394.0
72,4683.0,2477.0,4394.0
73,4683.0,1803.0,4394.0
74,4683.0,1803.0,4394.0
75,4683.0,2949.0,4394.0
76,4683.0,2793.0,4394.0
77,4683.0,2793.0,4394.0
78,4683.0,3822.0,3726.0
79,4683.0,3822.0,3726.0
80,4683.0,3822.0,1758.0
81,4683.0,3822.0,1758.0
82,4683.0,3822.0,8808.0
83,4683.0,3122.0,8808.0
84,4683.0,3122.0,8808.0
85,4683.0,3122.0,8808.0
86,4683.0,3122.0,4532.0
87,4683.0,1891.0,4532.0
88,4683.0,1891.0,4532.0
89,4683.0,1891.0,4532.0
90,4683.0,1891.0,4532.0
91,4683.0,2092.0,4532.0
92,4683.0,2092.0,4532.0
93,4683.0,2092.0,4435.0
94,4683.0,2092.0,4435.0
95,4683.0,2092.0,2150.0
96,4683.0,2092.0,2150.0
97,4683.0,2092.0,2150.0
98,4683.0,1857.0,2150.0
99,4683.0,1857.0,2150.0
100,4683.0,1857.0,2150.0
101,4683.0,1857.0,2150.0
102,4683.0,1857.0,2150.0
103,4683.0,1675.0,2150.0
104,4683.0,1675.0,2150.0
105,4683.0,1675.0,2150.0
106,4683.0,1810.0,2150.0
107,4683.0,1810.0,2150.0
108,4683.0,777.0,2150.0
109,4683.0,2519.0,2150.0
110,4683.0,2519.0,2150.0
111,4683.0,1646.0,2150.0
112,4683.0,1646.0,2150.0
113,4683.0,1646.0,2150.0
114,4683.0,1646.0,2150.0
115,4683.0,1646.0,2150.0
116,5199.0,1646.0,2150.0
117,5199.0,1646.0,2150.0
118,5199.0,1646.0,3990.0
119,5199.0,1646.0,3990.0
120,5199.0,1646.0,3990.0
121,5199.0,1646.0,3990.0
122,5199.0,1646.0,5036.0
123,400.0,1646.0,5036.0
124,5199.0,1646.0,5036.0
125,5199.0,1646.0,2145.0
126,2259.0,1646.0,2145.0
127,2259.0,1646.0,2145.0
128,2259.0,1646.0,2145.0
129,2259.0,1646.0,2145.0
130,2259.0,1646.0,3451.0
131,2259.0,1646.0,3451.0
132,2259.0,1498.0,4404.0
133,2259.0,1498.0,3805.0
134,2259.0,2565.0,3805.0
135,2259.0,2565.0,3805.0
1894,5859.0,2504.0,3943.0
1895,5859.0,2504.0,3463.0
1896,5859.0,2504.0,2237.0
1897,5859.0,2504.0,2237.0
1898,5859.0,2504.0,2237.0
1899,5859.0,2504.0,2237.0
